Datetime,Latitude,Longitude,WindSpeed Ave (m/s),WindDir Ave (degrees),AirTemp Ave (C),RelHum Ave (%),AtmPress Ave (hPa),GlobalRad Ave (W/m2),Rain Tot (mm),AirTemp_flag,RelHum_flag,WindSpeed_flag,AtmPress_flag,GlobalRad_flag,WindDir_flag
2025-06-24 15:00:00,1.2994913,103.7705849,3.3545033414610006,156.77273498623003,31.78933333333333,68.21166666666666,1001.3616666666666,555.4666666666667,0.0,0,0,0,0,0,0
2025-06-24 16:00:00,1.2994913,103.7705849,2.6398544473794847,163.47708895286678,31.42383333333333,68.43833333333333,1001.1633333333334,249.91666666666663,0.0,0,0,0,0,0,0
2025-06-24 17:00:00,1.2994913,103.7705849,2.5449967166231904,163.60735692433684,30.9655,71.34333333333333,1001.255,57.85,0.0,0,0,0,0,0,0
2025-06-24 18:00:00,1.2994913,103.7705849,0.3505501549792571,179.80128111509407,30.12933333333333,75.80666666666666,1001.68,12.55,0.0,0,0,0,0,0,0
2025-06-24 19:00:00,1.2994913,103.7705849,1.078933216103839,172.07746391666046,29.829166666666666,78.19333333333334,1002.35,1.0666666666666669,0.0,0,0,0,0,0,0
2025-06-24 20:00:00,1.2994913,103.7705849,0.2934907756620557,161.27350080975896,29.648666666666667,77.85833333333333,1002.9983333333332,0.0,0.0,0,0,0,0,0,0
2025-06-24 21:00:00,1.2994913,103.7705849,0.319513445923388,354.0368644179075,29.477833333333333,80.12333333333332,1003.6033333333332,0.0,0.0,0,0,0,0,0,0
2025-06-24 22:00:00,1.2994913,103.7705849,0.2731594221864684,330.7483716576134,29.24983333333333,83.095,1003.9333333333332,0.0,0.0,0,0,0,0,0,0
2025-06-24 23:00:00,1.2994913,103.7705849,0.1494156711621266,295.9338088154256,29.1395,84.57833333333333,1004.04,0.0,0.0,0,0,0,0,0,0
2025-06-25 00:00:00,1.2994913,103.7705849,0.2115713725152518,265.85360985332346,29.146833333333333,83.42166666666667,1003.6533333333332,0.0,0.0,0,0,0,0,0,0
2025-06-25 01:00:00,1.2994913,103.7705849,0.2377544984720918,225.69285556013665,29.019333333333336,84.89666666666668,1003.45,0.0,0.0,0,0,0,0,0,0
2025-06-25 02:00:00,1.2994913,103.7705849,0.3130050579091276,219.50580073220084,28.889333333333333,85.31166666666667,1002.9316666666668,0.0,0.0,0,0,0,0,0,0
2025-06-25 03:00:00,1.2994913,103.7705849,0.706382243148466,190.632440476564,28.934166666666663,85.125,1002.6216666666668,0.1833333333333333,0.0,0,0,0,0,0,0
2025-06-25 04:00:00,1.2994913,103.7705849,1.7107157659671657,164.4665824318887,29.074666666666666,83.475,1002.325,0.1166666666666666,0.0,0,0,0,0,0,0
2025-06-25 05:00:00,1.2994913,103.7705849,2.6608317692716352,155.9975821283299,29.1085,81.96833333333333,1002.4483333333334,0.0833333333333333,0.0,0,0,0,0,0,0
2025-06-25 06:00:00,1.2994913,103.7705849,2.6974998194739626,155.88434175443933,29.041,83.455,1002.6983333333334,0.7666666666666667,0.0,0,0,0,0,0,0
2025-06-25 07:00:00,1.2994913,103.7705849,2.6314542109042653,155.69577455857814,29.15233333333333,80.63666666666667,1003.1383333333334,22.55,0.0,0,0,0,0,0,0
